Documentos,Aceitação,Justificativa
D99540,Aceito,"O decreto estabelece diretrizes obrigatórias para ordenação territorial e zoneamento ecológico-econômico que condicionam o planejamento de qualquer infraestrutura urbana de grande porte, incluindo a necessária para UAM."
D9977,Rejeitado,Nenhum conteúdo relevante
D9985,Rejeitado,Nenhum conteúdo relevante
DOC_20251021203046_DF,Aceito,"O documento estabelece Zoneamento Ecológico-Econômico com limitações obrigatórias para uso do solo, que afetam diretamente o planejamento de infraestrutura UAM, incluindo localização de vertiportos e restrições ambientais."
EC109,Rejeitado,Nenhum conteúdo relevante
EC63,Rejeitado,Nenhum conteúdo relevante
ICA 07-27,Rejeitado,Nenhum conteúdo relevante
ICA 07-29,Rejeitado,Nenhum conteúdo relevante
ICA 07-31,Rejeitado,"O documento trata exclusivamente de classificação e segurança de sistemas de informação do SISCEAB, sem estabelecer parâmetros para planejamento territorial, zoneamento ou infraestrutura UAM."
ICA 100-1,Aceito,"O documento estabelece requisitos operacionais obrigatórios para aeródromos que impactam diretamente o planejamento de infraestrutura UAM, incluindo condições operacionais, sinalização e parâmetros para operações VFR/IFR que devem ser considerados no dimensionamento de vertiportos."
ICA 100-12,Aceito,"Partes 1, 3, 10 e 13 estabelecem regras obrigatórias sobre alturas mínimas sobre áreas habitadas, restrições sobre áreas povoadas e procedimentos de segurança que impactam diretamente o planejamento territorial para infraestrutura UAM."
ICA 100-16,Aceito,"O documento estabelece restrições operacionais e áreas críticas para sistemas ILS que impõem limitações obrigatórias ao uso do solo no entorno de aeródromos, impactando diretamente o planejamento territorial para infraestrutura UAM."
ICA 100-22,Rejeitado,"O documento trata predominantemente de procedimentos operacionais de gerenciamento de tráfego aéreo (ATFM), controle de capacidade do sistema ATM e definições técnicas, sem estabelecer parâmetros de uso do solo, zoneamento ou limitações administrativas aplicáveis ao planejamento territorial urbano para UAM."
ICA 100-23,Rejeitado,"O documento trata exclusivamente de normas técnicas e capacitação para elaboração de procedimentos de navegação aérea, sem estabelecer diretrizes sobre planejamento territorial, uso do solo ou parâmetros edificatórios aplicáveis ao ecossistema UAM."
ICA 100-24,Aceito,"O documento estabelece normas obrigatórias para procedimentos de navegação aérea, critérios de separação de obstáculos e segurança operacional que impactam diretamente o planejamento territorial urbano para infraestrutura UAM, incluindo avaliação de rotas e restrições de uso do solo."
ICA 100-3,Rejeitado,"O documento trata exclusivamente de operações aerodesportivas (ultraleves, planadores, paraquedismo) sem qualquer menção a infraestrutura UAM, vertiportos ou regulamentação de uso do solo urbano, sendo irrelevante para planejamento territorial."
ICA 100-31,Aceito,"O documento estabelece requisitos obrigatórios para espaços aéreos, serviços de tráfego aéreo e infraestrutura de navegação que impactam diretamente a localização e operação de vertiportos, condicionando o planejamento territorial urbano para UAM."
ICA 100-36,Aceito,"O documento estabelece regras obrigatórias para uso especial do espaço aéreo, classificações de EAC e FRZ que impactam diretamente a localização de infraestrutura UAM, constituindo limitação administrativa ao uso do solo aéreo."
ICA 100-37,Aceito,"O documento estabelece a classificação do espaço aéreo, dimensões de aerovias e procedimentos operacionais essenciais para o planejamento territorial de infraestrutura UAM, definindo parâmetros obrigatórios para localização e operação de vertiportos."
ICA 100-39,Rejeitado,"O documento trata especificamente de operações aeroagrícolas, não estabelecendo normas sobre infraestrutura UAM/vertiportos nem limitações administrativas ao uso do solo aplicáveis ao planejamento territorial urbano. As restrições próximas a aeródromos são setoriais para atividades agrícolas."
ICA 100-4,Aceito,"O documento estabelece normas operacionais obrigatórias para helicópteros aplicáveis ao planejamento de vertiportos UAM, incluindo distâncias de segurança, requisitos de localização e procedimentos que impactam diretamente o uso do solo urbano."
ICA 100-40,Aceito,"O documento estabelece distâncias mínimas obrigatórias de aeródromos/helipontos, zonas de restrição de voo e parâmetros para localização de vertiportos, impactando diretamente o planejamento territorial da infraestrutura UAM."
ICA 100-41,Rejeitado,"O documento trata exclusivamente de regras operacionais de slots em aeródromos, sem estabelecer normas de uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano para infraestrutura UAM."
ICA 100-43,Rejeitado,Nenhum conteúdo relevante
ICA 100-44,Aceito,"O documento estabelece critérios obrigatórios para planejamento do espaço aéreo, rotas, localização de infraestrutura e parâmetros operacionais que impactam diretamente o planejamento territorial urbano para UAM, incluindo aspectos de zoneamento aéreo e restrições ao uso do solo."
ICA 100-47,Rejeitado,Nenhum conteúdo relevante
ICA 102-11,Rejeitado,"O documento trata exclusivamente de procedimentos de radiomonitoragem e controle de interferências eletromagnéticas para serviços aeronáuticos, sem estabelecer normas de planejamento territorial, uso do solo ou parâmetros para infraestrutura UAM."
ICA 102-14,Rejeitado,Nenhum conteúdo relevante
ICA 102-3,Rejeitado,Nenhum conteúdo relevante
ICA 102-5,Rejeitado,Nenhum conteúdo relevante
ICA 102-7,Rejeitado,"Apenas a Parte 4 contém definições operacionais aplicáveis à infraestrutura UAM, mas o documento como um todo foca predominantemente em habilitação técnica de operadores de telecomunicações, sem estabelecer normas de planejamento territorial ou limitações ao uso do solo."
ICA 105-11,Rejeitado,Nenhum conteúdo relevante
ICA 105-15,Aceito,"O documento estabelece requisitos técnicos obrigatórios para instalação de estações meteorológicas em aeródromos, incluindo critérios de localização e parâmetros operacionais que impactam diretamente a segurança de operações UAM e definem restrições territoriais para infraestrutura aeronáutica."
ICA 105-17,Rejeitado,"O documento trata exclusivamente de normas técnicas e operacionais para serviços meteorológicos aeronáuticos, sem estabelecer diretrizes sobre uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano para UAM."
ICA 105-2,Rejeitado,"O documento trata exclusivamente de meteorologia aeronáutica, estabelecendo requisitos operacionais e organizacionais para serviços meteorológicos, sem abordar parâmetros de uso do solo, zoneamento ou infraestrutura UAM específica."
ICA 105-6,Rejeitado,Nenhum conteúdo relevante
ICA 11-3,Aceito,"O documento estabelece obrigatoriedades para zoneamento de proteção, restrições de uso do solo e parâmetros de segurança que devem ser incorporados ao planejamento territorial municipal, impactando diretamente a implantação de infraestrutura UAM."
ICA 11-4,Aceito,"O documento estabelece Planos de Zona de Proteção que devem ser incorporados nos Planos Diretores Municipais, criando limitações obrigatórias de uso do solo e parâmetros edificatórios no entorno de aeródromos e helipontos, diretamente aplicáveis ao planejamento territorial UAM."
ICA 11-402,Rejeitado,Nenhum conteúdo relevante
ICA 11-408,Aceito,"O documento estabelece obrigatoriamente superfícies de proteção, zoneamento e limitações ao uso do solo para aeródromos, helipontos e vertiportos, diretamente aplicáveis ao planejamento territorial urbano para infraestrutura UAM."
ICA 12-24,Aceito,"Partes 3 e 4 estabelecem procedimentos obrigatórios para análise de projetos de infraestrutura aeronáutica (EPTA, aeródromos, helipontos) que impactam diretamente o uso do solo e exigem conformidade no planejamento territorial urbano para UAM."
ICA 12-36,Aceito,"O documento estabelece requisitos obrigatórios para infraestrutura UAM (vertiportos), incluindo regras de localização, proteção ambiental, parâmetros edificatórios e limitações de uso do solo que impactam diretamente o planejamento territorial urbano."
ICA 12-37,Rejeitado,Nenhum conteúdo relevante
ICA 121-13,Rejeitado,"O documento trata majoritariamente de procedimentos administrativos de inspeção de segurança operacional no controle do espaço aéreo, sem estabelecer parâmetros de planejamento territorial, zoneamento ou limitações ao uso do solo aplicáveis ao ecossistema UAM."
ICA 121-3,Aceito,"O documento estabelece definições e classificações de infraestrutura aeronáutica aplicáveis à UAM, incluindo avaliação de locais para instalação de sistemas, procedimentos de homologação e condições de pistas/áreas de movimento, essenciais para planejamento territorial de vertiportos."
ICA 164-1,Rejeitado,Nenhum conteúdo relevante
ICA 164-2,Rejeitado,Nenhum conteúdo relevante
ICA 164-3,Rejeitado,Nenhum conteúdo relevante
ICA 164-5,Rejeitado,Nenhum conteúdo relevante
ICA 164-7,Rejeitado,Nenhum conteúdo relevante
ICA 19-78,Rejeitado,"Documento trata exclusivamente de planejamento administrativo interno do DECEA, sem estabelecer normas sobre uso do solo, zoneamento ou parâmetros territoriais aplicáveis ao planejamento urbano para UAM."
ICA 205-48,Rejeitado,"O documento trata exclusivamente de segurança operacional da aviação (AVSEC) e gestão do SISCEAB, sem estabelecer parâmetros de planejamento territorial, zoneamento ou limitações administrativas ao uso do solo aplicáveis ao ecossistema UAM."
ICA 205-51,Aceito,"O documento estabelece requisitos obrigatórios de segurança AVSEC para infraestrutura aeronáutica, incluindo análise de riscos do entorno, medidas de proteção física e localização de instalações, que impactam diretamente o planejamento territorial de infraestruturas UAM."
ICA 205-55,Rejeitado,"Documento trata predominantemente de normas internas de segurança e defesa militar da Aeronáutica, sem estabelecer limitações administrativas ao uso do solo, zoneamento ou parâmetros aplicáveis ao planejamento territorial urbano civil para UAM."
ICA 212-3,Rejeitado,Nenhum conteúdo relevante
ICA 351-1,Rejeitado,Nenhum conteúdo relevante
ICA 351-5,Aceito,"A Parte 9 define linhas de pesquisa específicas sobre UAM incluindo infraestrutura e impacto socioambiental em ambiente urbano, estabelecendo diretrizes obrigatórias para o planejamento territorial de vertiportos e operações aéreas urbanas."
ICA 37-269,Rejeitado,Nenhum conteúdo relevante
ICA 37-288,Rejeitado,Nenhum conteúdo relevante
ICA 37-850,Rejeitado,Nenhum conteúdo relevante
ICA 5-8,Rejeitado,Nenhum conteúdo relevante
ICA 53-1,Rejeitado,"O documento trata exclusivamente de procedimentos operacionais para emissão de NOTAMs, sem estabelecer normas de uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano para UAM."
ICA 53-10,Rejeitado,Nenhum conteúdo relevante
ICA 53-2,Rejeitado,"Apenas 2 partes de 10 abordam aspectos técnicos de infraestrutura aeronáutica, sendo o foco principal procedimentos operacionais de Salas AIS sem relação com planejamento territorial ou limitações ao uso do solo urbano."
ICA 53-3,Rejeitado,Nenhum conteúdo relevante
ICA 53-4,Aceito,"O documento estabelece definições técnicas e requisitos operacionais para aeródromos, áreas de movimento, obstáculos e infraestrutura aeronáutica que são diretamente aplicáveis ao planejamento de vertiportos e operações UAM, impondo limitações obrigatórias ao uso do solo urbano."
ICA 53-5,Rejeitado,Nenhum conteúdo relevante
ICA 53-6,Rejeitado,Nenhum conteúdo relevante
ICA 53-7,Rejeitado,"O documento trata apenas de informações aeronáuticas digitais e procedimentos do AISWEB, sem estabelecer parâmetros de planejamento territorial, zoneamento ou requisitos para infraestrutura UAM/vertiportos."
ICA 53-8,Aceito,"O documento estabelece requisitos obrigatórios para infraestrutura aeronáutica (heliportos, áreas de proteção, obstáculos) e parâmetros de segurança que impactam diretamente o planejamento territorial urbano para operações UAM, definindo limitações ao uso do solo e zoneamento."
ICA 53-9,Rejeitado,Nenhum conteúdo relevante
ICA 57-1,Aceito,"A Parte 2 estabelece superfícies limitadoras de obstáculos e plano de zona de proteção, que constituem limitações administrativas obrigatórias ao uso do solo para implantação de infraestrutura urbana, diretamente aplicáveis ao planejamento territorial UAM."
ICA 63-10,Aceito,"O documento estabelece normas obrigatórias para implantação de infraestrutura de navegação aérea, incluindo análise de obstáculos baseada em planos de zoneamento e exigências de zonas de proteção, que impactam diretamente o planejamento territorial urbano para UAM."
ICA 63-11,Rejeitado,"O documento trata exclusivamente da estrutura organizacional, atribuições e procedimentos internos do sistema de segurança operacional do controle do espaço aéreo, sem estabelecer normas de uso do solo, zoneamento ou parâmetros de infraestrutura urbana aplicáveis ao planejamento territorial."
ICA 63-12,Rejeitado,"O documento trata exclusivamente de procedimentos de segurança operacional e resposta a atos ilícitos em infraestrutura aeroportuária, sem estabelecer parâmetros de planejamento territorial, zoneamento ou limitações ao uso do solo aplicáveis ao ecossistema UAM."
ICA 63-13,Aceito,"O documento estabelece regras para autorização de voo e possibilidade de criação de zonas com restrição no espaço aéreo, elementos essenciais para o planejamento territorial de infraestrutura UAM, incluindo localização de vertiportos e corredores de voo."
ICA 63-14,Rejeitado,Nenhum conteúdo relevante
ICA 63-18,Aceito,"O documento estabelece critérios obrigatórios para implantação de infraestrutura de controle de tráfego aéreo, navegação e serviços ATS, que constituem limitações administrativas essenciais para o planejamento territorial de infraestruturas UAM como vertiportos."
ICA 63-19,Aceito,"O documento estabelece critérios obrigatórios para zoneamento de proteção, restrições ao uso do solo e parâmetros técnicos que impactam diretamente o planejamento territorial urbano no entorno de infraestrutura UAM, incluindo heliportos e vertiportos."
ICA 63-20,Rejeitado,"O documento trata exclusivamente de requisitos técnicos para torres de controle do SISCEAB em aeródromos convencionais, sem qualquer menção a vertiportos, UAM ou parâmetros de planejamento territorial urbano. Sua aplicação é restrita à infraestrutura de controle do espaço aéreo existente."
ICA 63-26,Aceito,"O documento estabelece requisitos obrigatórios de gerenciamento de risco para modificações em aeródromos e infraestrutura de navegação aérea, impactando diretamente o planejamento territorial de infraestruturas UAM como vertiportos."
ICA 63-27,Rejeitado,Nenhum conteúdo relevante
ICA 63-32,Rejeitado,Nenhum conteúdo relevante
ICA 63-37,Aceito,"O documento estabelece zonas de proteção, restrições de obstáculos e limitações ao uso do solo no entorno de aeródromos, que são obrigatórias para o planejamento territorial de infraestruturas urbanas, incluindo futuros vertiportos UAM."
ICA 63-39,Rejeitado,Nenhum conteúdo relevante
ICA 63-43,Aceito,"O documento estabelece normas para infraestrutura aeronáutica, definindo tipos de estações, planos de zona de proteção (PZPANA) e parâmetros operacionais que criam limitações administrativas ao uso do solo, impactando diretamente o planejamento territorial para implantação de infraestruturas UAM."
ICA 63-45,Rejeitado,Nenhum conteúdo relevante
ICA 63-46,Aceito,"O documento estabelece normas obrigatórias para implantação de infraestrutura de navegação aérea, definindo requisitos técnicos, localização e procedimentos que impactam diretamente o planejamento territorial para instalações UAM, incluindo vertiportos e infraestrutura de apoio."
ICA 63-51,Aceito,"A Parte 4 estabelece normas técnicas para operações aéreas incluindo requisitos de infraestrutura aeronáutica, criando parâmetros obrigatórios para planejamento territorial de vertiportos e infraestrutura UAM."
ICA 63-7,Rejeitado,Nenhum conteúdo relevante
ICA 64-2,Rejeitado,Nenhum conteúdo relevante
ICA 66-16,Rejeitado,Nenhum conteúdo relevante
ICA 66-22,Rejeitado,Nenhum conteúdo relevante
ICA 66-29,Rejeitado,"O documento trata exclusivamente de normas técnicas de segurança elétrica para instalações do SISCEAB, sem estabelecer limitações ao uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano para UAM."
ICA 66-30,Rejeitado,"O documento trata exclusivamente de requisitos técnicos para sistemas elétricos, aterramento e proteção contra descargas atmosféricas em instalações do SISCEAB, sem estabelecer normas de uso do solo, zoneamento ou parâmetros de planejamento territorial aplicáveis à infraestrutura UAM."
ICA 66-32,Rejeitado,Nenhum conteúdo relevante
ICA 66-36,Rejeitado,"Documento trata exclusivamente de especificações técnicas de sistemas de energia para infraestrutura aeronáutica, sem estabelecer limitações ao uso do solo, zoneamento ou parâmetros de planejamento territorial urbano aplicáveis ao ecossistema UAM."
ICA 7-2,Rejeitado,Nenhum conteúdo relevante
ICA 7-23,Rejeitado,Nenhum conteúdo relevante
ICA 7-30,Rejeitado,Nenhum conteúdo relevante
ICA 7-35,Rejeitado,Nenhum conteúdo relevante
ICA 7-58,Rejeitado,Nenhum conteúdo relevante
ICA 800-8,Aceito,"Partes 1, 2 e 4 estabelecem normas AVSEC para infraestruturas aeronáuticas, definem áreas restritas e conceitos de segurança aplicáveis ao planejamento territorial de infraestrutura UAM, criando limitações obrigatórias para implantação de vertiportos e operações aéreas urbanas."
ICA 800-9,Rejeitado,"O documento trata exclusivamente de certificação e qualidade de produtos de controle do espaço aéreo (PCEA) no âmbito do SISCEAB, sem estabelecer normas de uso do solo, zoneamento ou parâmetros de infraestrutura urbana aplicáveis ao planejamento territorial UAM."
ICA 81-2,Rejeitado,"O documento trata predominantemente de gestão de segurança operacional para provedores de serviços de navegação aérea, sem estabelecer parâmetros de planej territorial, zoneamento ou limitações ao uso do solo aplicáveis ao ecossistema UAM."
ICA 81-4,Rejeitado,"O documento trata principalmente de procedimentos operacionais de controle de tráfego aéreo e prevenção de incursões em pista, sem estabelecer diretrizes para planejamento territorial, zoneamento ou parâmetros edificatórios aplicáveis ao ecossistema UAM."
ICA 9-1,Rejeitado,Nenhum conteúdo relevante
ICA 92-19,Rejeitado,"O documento trata exclusivamente de normas técnicas de proteção contra incêndio para instalações do SISCEAB e infraestrutura aeronáutica existente, sem estabelecer parâmetros de uso do solo, zoneamento ou requisitos aplicáveis ao planejamento territorial urbano para UAM."
ICA 96-1,Aceito,"O documento estabelece parâmetros técnicos obrigatórios para infraestrutura aérea, definindo critérios de obstáculos, zonas de proteção, elevações e procedimentos operacionais que impactam diretamente o zoneamento urbano e licenciamento de vertiportos no ecossistema UAM."
ICA 96-2,Aceito,"A Parte 2 estabelece planos de zona de proteção com limitações obrigatórias para ocupação do solo em torno de aeródromos e helipontos, impactando diretamente o planejamento territorial urbano para infraestrutura UAM."
ICA 96-3,Aceito,"O documento estabelece critérios de priorização para infraestrutura aeronáutica, homologação de aeródromos e parâmetros de localização que impactam diretamente o planejamento territorial urbano para operações UAM, configurando limitação administrativa ao uso do solo."
L10098,Aceito,"O documento estabelece normas obrigatórias de acessibilidade para edificações, espaços públicos e transportes que se aplicam diretamente à infraestrutura UAM, incluindo vertiportos, constituindo requisitos legais para planejamento territorial urbano."
L10165,Aceito,"Estabelece taxa ambiental obrigatória para atividades potencialmente poluidoras, incluindo infraestruturas UAM, criando condicionante legal direta para planejamento territorial de empreendimentos aeromobilidade."
L10257,Aceito,"O documento estabelece diretrizes obrigatórias de política urbana, zoneamento, uso do solo e controle de empreendimentos geradores de tráfego, aplicáveis ao planejamento de infraestrutura UAM, além de regular o uso do espaço aéreo."
L10297,Rejeitado,Nenhum conteúdo relevante
L10390,Rejeitado,Nenhum conteúdo relevante
L10598,Rejeitado,Nenhum conteúdo relevante
L10636,Aceito,"A lei cria FNIT e estabelece critérios para aplicação de recursos da Cide em infraestrutura de transportes, incluindo objetivos de mobilidade urbana, o que é fundamental para planejamento territorial de infraestruturas UAM."
L10850,Rejeitado,Nenhum conteúdo relevante
L10933,Aceito,"A Parte 14 estabelece diretrizes obrigatórias para política urbana, mobilidade urbana e ordenamento territorial que devem ser observadas no planejamento de qualquer infraestrutura urbana de grande porte, incluindo potencialmente projetos UAM."
L11012,Rejeitado,Nenhum conteúdo relevante
L11013,Rejeitado,Nenhum conteúdo relevante
L11014,Rejeitado,Nenhum conteúdo relevante
L11015,Rejeitado,Nenhum conteúdo relevante
L11016,Rejeitado,Nenhum conteúdo relevante
L11017,Rejeitado,Nenhum conteúdo relevante
L11030,Rejeitado,Nenhum conteúdo relevante
L11043,Rejeitado,Nenhum conteúdo relevante
L11044,Rejeitado,Nenhum conteúdo relevante
L11045,Rejeitado,Nenhum conteúdo relevante
L11064,Rejeitado,Nenhum conteúdo relevante
L11065,Rejeitado,Nenhum conteúdo relevante
L11066,Rejeitado,Nenhum conteúdo relevante
L11067,Rejeitado,Nenhum conteúdo relevante
L11068,Rejeitado,Nenhum conteúdo relevante
L11070,Rejeitado,Nenhum conteúdo relevante
L11071,Rejeitado,Nenhum conteúdo relevante
L11099,Rejeitado,Nenhum conteúdo relevante
L11168,Rejeitado,Nenhum conteúdo relevante
L11182,Aceito,"Estabelece a ANAC como entidade reguladora da infraestrutura aeronáutica e aeroportuária, com competência para aprovar planos diretores, fiscalizar construção de aeródromos e estabelecer normas de segurança, aplicáveis a vertiportos considerados como aeródromos."
L11194,Rejeitado,Nenhum conteúdo relevante
L11318,Aceito,"A Parte 11 estabelece diretrizes para política urbana, mobilidade urbana e uso do solo com sustentabilidade, criando parâmetros obrigatórios para planejamento territorial que afetam diretamente a implantação de infraestrutura UAM."
L11450,Rejeitado,Nenhum conteúdo relevante
L11460,Rejeitado,Nenhum conteúdo relevante
L11518,Rejeitado,Nenhum conteúdo relevante
L11653,Rejeitado,Nenhum conteúdo relevante
L11673,Aceito,"A prorrogação de prazos para planos diretores municipais afeta diretamente o cronograma de implementação de infraestrutura UAM, pois estes planos estabelecem as diretrizes de uso do solo e zoneamento que regulam a instalação de vertiportos e corredores aéreos urbanos."
L1180,Rejeitado,Nenhum conteúdo relevante
L1185,Rejeitado,Nenhum conteúdo relevante
L11891,Aceito,"O documento estabelece restrições de uso do solo e zoneamento ambiental que obrigatoriamente afetam o planejamento e implantação de infraestrutura urbana de grande porte, incluindo possíveis vertiportos e operações UAM."
L12009,Rejeitado,Nenhum conteúdo relevante
L12187,Aceito,Documento aceito para composição da base de identificação.
L12305,Aceito,"Estabelece diretrizes obrigatórias de gestão ambiental que impactam o licenciamento de infraestruturas urbanas, incluindo vertiportos, através de normas de proteção ambiental, planejamento territorial e gestão de resíduos sólidos."
L12343,Rejeitado,Nenhum conteúdo relevante
L12587,Aceito,"Estabelece diretrizes obrigatórias para Planos de Mobilidade Urbana integrados ao planejamento territorial municipal, incluindo princípios de integração modal e desenvolvimento sustentável aplicáveis à infraestrutura UAM."
L12593,Aceito,"A Parte 1 estabelece diretrizes para planejamento governamental e define empreendimentos de grande porte no PPA, aplicável a infraestruturas urbanas, o que inclui obrigatoriamente o planejamento territorial para implantações de grande escala no ecossistema UAM."
L12651,Aceito,"O documento estabelece normas obrigatórias de proteção ambiental, APPs, uso do solo e licenciamento que diretamente impactam o planejamento territorial para infraestrutura UAM, impondo restrições legais ao uso do solo urbano."
L12678,Aceito,"O documento estabelece múltiplas restrições de uso do solo em áreas protegidas da Amazônia, criando limitações administrativas obrigatórias para implantação de qualquer infraestrutura urbana de grande porte, incluindo UAM."
L12725,Aceito,Documento aceito para composição da base de identificação.
L12727,Aceito,"O documento estabelece parâmetros ambientais obrigatórios, regras de proteção ambiental e limitações de uso do solo que devem ser observados no planejamento de qualquer infraestrutura urbana de grande porte, incluindo a necessária para ecossistema UAM."
L12836,Aceito,"A lei altera o Estatuto da Cidade estabelecendo incentivos para tecnologias que reduzam impactos ambientais, criando obrigatoriedade legal aplicável ao planejamento territorial urbano de infraestruturas como vertiportos UAM."
L12965,Aceito,Documento aceito para composição da base de identificação.
L12994,Rejeitado,Nenhum conteúdo relevante
L13005,Rejeitado,Nenhum conteúdo relevante
L13019,Rejeitado,Nenhum conteúdo relevante
L13089,Aceito,"O Estatuto da Metrópole estabelece diretrizes obrigatórias para planejamento territorial integrado em regiões metropolitanas, incluindo macrozoneamento e restrições à urbanização que afetam diretamente a implantação de infraestruturas de grande porte como vertiportos UAM."
L13116,Aceito,"O artigo 6º, VII estabelece obrigatoriedade de respeito às Zonas de Proteção de Heliponto definidas pelo Comando da Aeronáutica, criando limitação administrativa direta ao uso do solo para infraestrutura UAM."
L13146,Aceito,"O documento estabelece normas obrigatórias de acessibilidade para edificações, espaços públicos e infraestrutura de transporte que são diretamente aplicáveis ao planejamento de vertiportos e integração com sistemas urbanos, conforme partes 1, 6, 7, 8, 13 e 14."
L13204,Rejeitado,Nenhum conteúdo relevante
L13240,Aceito,"O documento estabelece regras obrigatórias sobre gestão de terrenos públicos, áreas de preservação permanente, restrições de parcelamento do solo e parâmetros de sustentabilidade que impactam diretamente o planejamento territorial para infraestruturas urbanas de grande porte como UAM."
L13249,Rejeitado,Nenhum conteúdo relevante
L13295,Rejeitado,Nenhum conteúdo relevante
L13397,Rejeitado,Nenhum conteúdo relevante
L13406,Aceito,"Estabelece obrigatoriedade de compatibilização entre Plano de Mobilidade Urbana e plano diretor municipal, criando diretrizes vinculantes para planejamento territorial que afetam infraestrutura urbana de grande porte como vertiportos."
L13452,Aceito,"O documento estabelece restrições ambientais obrigatórias e delimitações territoriais que impactam diretamente o planejamento de infraestrutura urbana de grande porte, incluindo possíveis implantações UAM, além de definir restrições no uso do espaço aéreo."
L13465,Aceito,"O documento estabelece normas gerais de regularização fundiária urbana, parâmetros urbanísticos, zoneamento (ZEIS) e regras obrigatórias para infraestrutura urbana que impactam diretamente o planejamento territorial necessário para implantação de infraestruturas UAM."
L13668,Aceito,"Estabelece regras obrigatórias de compensação ambiental e licenciamento que afetam diretamente a implantação de infraestrutura urbana de grande porte, incluindo possíveis vertiportos em unidades de conservação."
L13683,Aceito,"O documento estabelece diretrizes obrigatórias para planejamento territorial metropolitano e condiciona recursos federais à elaboração de Planos de Mobilidade Urbana, criando limitações administrativas e parâmetros que afetam diretamente a implantação de infraestrutura UAM."
L13699,Aceito,"A alteração do Estatuto da Cidade estabelece diretrizes obrigatórias de acessibilidade e conforto em edificações urbanas, criando parâmetros edificatórios que impactam diretamente o planejamento de infraestruturas urbanas de grande porte como vertiportos UAM."
L13709,Aceito,Documento aceito para composição da base de identificação.
L13724,Rejeitado,Nenhum conteúdo relevante
L13755,Rejeitado,Nenhum conteúdo relevante
L13848,Aceito,"Estabelece o marco regulatório das agências reguladoras federais, incluindo a ANAC, que regula a aviação civil e futuramente a UAM, definindo processos decisórios obrigatórios para normatização setorial."
L13887,Rejeitado,"O documento trata especificamente de proteção da vegetação nativa em propriedades rurais (CAR/PRA), não estabelecendo regras aplicáveis ao planejamento territorial urbano ou infraestrutura UAM em áreas urbanas."
L13971,Aceito,"A Parte 2 estabelece regras obrigatórias para projetos de grande vulto (acima de R$ 50-100 milhões) que podem incluir infraestrutura UAM, exigindo viabilidade técnica e registro, aplicando-se ao planejamento territorial de grandes empreendimentos."
L14000,Aceito,"A lei altera a legislação de mobilidade urbana obrigando municípios a integrar planos de mobilidade com planos diretores, criando obrigatoriedade legal que impacta diretamente o planejamento territorial para infraestruturas urbanas de grande porte como vertiportos."
L14026,Rejeitado,"O documento trata exclusivamente de saneamento básico e recursos hídricos, sem estabelecer parâmetros de uso do solo, zoneamento ou limitações administrativas aplicáveis ao planejamento territorial para infraestrutura UAM."
L1403,Rejeitado,Nenhum conteúdo relevante
L14406,Rejeitado,Nenhum conteúdo relevante
L14489,Aceito,"A vedação de técnicas construtivas hostis em espaços públicos estabelece limitações obrigatórias ao uso do solo que impactam diretamente o planejamento de infraestrutura urbana de grande porte, incluindo projetos do ecossistema UAM."
L14595,Rejeitado,"O documento trata exclusivamente de regularização ambiental em imóveis rurais, sem estabelecer normas específicas sobre uso do solo urbano, zoneamento ou parâmetros edificatórios aplicáveis à infraestrutura UAM."
L14597,Rejeitado,Nenhum conteúdo relevante
L14645,Rejeitado,Nenhum conteúdo relevante
L14691,Rejeitado,Nenhum conteúdo relevante
L14714,Aceito,"O documento estabelece diretrizes obrigatórias para uso do solo e controle de erosão em áreas costeiras, que são parâmetros fundamentais para o planejamento de infraestrutura urbana de grande porte como vertiportos e heliportos no ecossistema UAM."
L14729,Aceito,"Estabelece participação popular e integração obrigatória do planejamento de mobilidade urbana, criando diretrizes aplicáveis ao planejamento territorial de infraestruturas urbanas de grande porte como vertiportos."
L14748,Aceito,"Estabelece prazos obrigatórios para Planos de Mobilidade Urbana municipais, que devem incluir diretrizes para infraestrutura de transporte, incluindo potencialmente componentes UAM como parte do planejamento territorial integrado."
L14750,Aceito,"O documento estabelece obrigações legais de ordenamento territorial, análise de risco e restrições de uso do solo que são aplicáveis obrigatoriamente a qualquer infraestrutura urbana de grande porte, incluindo ecossistemas UAM."
L14755,Rejeitado,Nenhum conteúdo relevante
L14802,Rejeitado,Nenhum conteúdo relevante
L14817,Rejeitado,Nenhum conteúdo relevante
L14849,Aceito,"A alteração do Estatuto da Cidade para incluir análise de mobilidade urbana nos EIVs estabelece limitação administrativa ao uso do solo obrigatória para infraestruturas urbanas de grande porte, incluindo futuros equipamentos UAM."
L14902,Rejeitado,"Apenas 1 das 8 partes menciona infraestrutura de abastecimento energético, sem tratar especificamente de UAM, vertiportos ou regras de uso do solo aplicáveis ao planejamento territorial urbano obrigatório."
L14904,Aceito,"Estabelece obrigatoriedade de considerar vulnerabilidades e gestão de risco climático em políticas de ordenamento territorial, aplicável ao planejamento de infraestrutura urbana de grande porte como vertiportos UAM."
